detector,n_detected,n_total,detection_rate,mean_severity_when_detected
ghost_protocols,32532,52765,0.6165,0.8865
outcome_switching,0,52765,0.0,0.0
population_distortion,13289,52765,0.2519,0.3593
sample_size_decay,3732,52765,0.0707,0.5118
sponsor_concentration,1481,52765,0.0281,0.4
geographic_shifts,1255,52765,0.0238,0.9528
results_delay,28232,52765,0.5351,0.5938
endpoint_softening,9913,52765,0.1879,0.9552
comparator_manipulation,5211,52765,0.0988,0.4908
statistical_fragility,0,52765,0.0,0.0
